"Rank","WSIT","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","","Todd Gurley","LAR","RB1","12","1","1","1.0","0.0","1.0","0.0"
"2","","Saquon Barkley","NYG","RB2","9","2","2","2.0","0.0","6.0","+4.0"
"3","","Ezekiel Elliott","DAL","RB3","8","3","4","3.5","0.5","4.0","+1.0"
"4","","Melvin Gordon","LAC","RB4","8","3","7","5.0","2.0","11.0","+7.0"
"5","","Antonio Brown","PIT","WR1","7","5","6","5.5","0.5","5.0","0.0"
"6","","Alvin Kamara","NO","RB5","6","4","8","6.0","2.0","7.0","+1.0"
"7","","Michael Thomas","NO","WR2","6","5","10","7.5","2.5","16.0","+9.0"
"8","","Joe Mixon","CIN","RB6","9","7","11","9.0","2.0","23.0","+15.0"
"9","","Kareem Hunt","KC","RB7","12","8","10","9.0","1.0","9.0","0.0"
"10","","Julio Jones","ATL","WR3","8","9","12","10.5","1.5","14.0","+4.0"
"11","","Davante Adams","GB","WR4","7","6","18","12.0","6.0","18.0","+7.0"
"12","","Adam Thielen","MIN","WR5","10","9","17","13.0","4.0","32.0","+20.0"
"13","","DeAndre Hopkins","HOU","WR6","10","11","16","13.5","2.5","10.0","-3.0"
"14","","Odell Beckham Jr.","NYG","WR7","9","14","17","15.5","1.5","12.0","-2.0"
"15","","Christian McCaffrey","CAR","RB8","4","12","20","16.0","4.0","15.0","0.0"
"16","","David Johnson","ARI","RB9","9","13","19","16.0","3.0","3.0","-13.0"
"17","","Sony Michel","NE","RB10","11","15","19","17.0","2.0","72.0","+55.0"
"18","","A.J. Green","CIN","WR8","9","16","18","17.0","1.0","22.0","+4.0"
"19","","Mark Ingram","NO","RB11","6","13","22","17.5","4.5","51.0","+32.0"
"20","","Keenan Allen","LAC","WR9","8","21","24","22.5","1.5","19.0","-1.0"
"21","","Travis Kelce","KC","TE1","12","23","23","23.0","0.0","28.0","+7.0"
"22","","Tyreek Hill","KC","WR10","12","21","27","24.0","3.0","27.0","+5.0"
"23","","James White","NE","RB12","11","14","37","25.5","11.5","117.0","+94.0"
"24","","Mike Evans","TB","WR11","5","24","27","25.5","1.5","25.0","+1.0"
"25","","Marlon Mack","IND","RB13","9","20","33","26.5","6.5","96.0","+71.0"
"26","","Leonard Fournette","JAC","RB14","9","22","35","28.5","6.5","8.0","-18.0"
"27","","Zach Ertz","PHI","TE2","9","28","29","28.5","0.5","39.0","+12.0"
"28","","James Conner","PIT","RB15","7","15","44","29.5","14.5","153.0","+125.0"
